# x y1 y2 y3
5.000000e-01 2.896246e-02 2.556259e-02 1.737948e-03
5.500000e-01 4.660348e-02 3.301260e-02 3.435970e-03
6.050000e-01 7.062170e-02 4.491202e-02 6.489533e-03
6.655000e-01 1.004918e-01 5.783969e-02 1.196739e-02
7.320500e-01 1.346966e-01 7.637380e-02 2.009104e-02
8.052550e-01 1.735176e-01 9.983286e-02 3.730041e-02
8.857805e-01 2.153102e-01 1.264088e-01 5.966154e-02
9.743586e-01 2.590878e-01 1.614256e-01 9.365129e-02
1.071794e+00 3.031695e-01 1.981434e-01 1.380001e-01
1.178974e+00 3.435164e-01 2.430622e-01 1.910684e-01
1.296871e+00 3.867660e-01 2.887778e-01 2.492525e-01
1.426558e+00 4.273243e-01 3.372137e-01 3.094329e-01
1.569214e+00 4.661679e-01 3.847991e-01 3.678443e-01
1.726136e+00 5.049813e-01 4.350910e-01 4.219526e-01
1.898749e+00 5.395346e-01 4.816515e-01 4.735870e-01
2.088624e+00 5.734841e-01 5.251110e-01 5.212374e-01
2.297486e+00 6.059597e-01 5.665669e-01 5.642899e-01
2.527235e+00 6.377012e-01 6.054851e-01 6.048865e-01
2.779959e+00 6.645078e-01 6.407188e-01 6.402356e-01
3.057955e+00 6.922951e-01 6.737234e-01 6.735034e-01
3.363750e+00 7.155207e-01 7.030254e-01 7.028212e-01
3.700125e+00 7.399846e-01 7.297983e-01 7.294061e-01
4.070137e+00 7.620244e-01 7.547747e-01 7.545744e-01
4.477151e+00 7.824316e-01 7.770618e-01 7.764520e-01
4.924866e+00 8.006695e-01 7.963286e-01 7.970103e-01
5.417353e+00 8.176847e-01 8.157015e-01 8.152745e-01
5.959088e+00 8.342119e-01 8.322614e-01 8.320142e-01
6.554997e+00 8.482574e-01 8.475623e-01 8.472528e-01
7.210497e+00 8.621877e-01 8.614616e-01 8.614368e-01
7.931546e+00 8.744102e-01 8.737689e-01 8.741222e-01
8.724701e+00 8.856234e-01 8.851985e-01 8.853088e-01
9.597171e+00 8.955857e-01 8.959299e-01 8.959255e-01
